reviewId,providerId,name,type,region,city,reviewCategory,batchKey,claimField,claimValue,claimRiskLevel,claimConfidence,claimScore,claimDecision,sourceType,sourceOwnerType,sourceUrls,auditRules,claimReason,requiredHumanAction,reviewPriority
claim:c56ff6467ccfd63e272cf70f,national-coliber-group-psychiatry,Coliber Group Psychiatry,psychiatrist,National,Telehealth,referral pathway review,"referral pathway review|review|high|requiresReferral|healthpoint|high-risk claim affects safety, suitability, availability, referral, or sensitiv",requiresReferral,false,high,high,1,review,healthpoint,professional_directory,https://www.healthpoint.co.nz/private/psychiatry/coliber-group-psychiatry/?region=im%3A085f0496-b25b-4d5a-8ac7-81a4ca54226d; https://www.coliber.nz/appointments/,referral pathway review; review,"high-risk claim affects safety, suitability, availability, referral, or sensitive matching",Human review required before this claim changes public recommendations.,high
claim:76a60784976a2af79a6adbcc,south-canterbury-community-mental-health,Community Mental Health | South Canterbury,public-service,South Canterbury,Timaru,referral pathway review,"referral pathway review|review|high|requiresReferral|healthpoint|high-risk claim affects safety, suitability, availability, referral, or sensitiv",requiresReferral,false,high,high,1,review,healthpoint,professional_directory,https://www.healthpoint.co.nz/mental-health-addictions/mental-health/community-mental-health-south-canterbury/,referral pathway review; review,"high-risk claim affects safety, suitability, availability, referral, or sensitive matching",Human review required before this claim changes public recommendations.,high
claim:c8a53c2218b732b47be30f2b,southland-coliber-dr-agata-moody,Dr Agata Moody - Coliber Psychiatry,psychiatrist,Southland,Invercargill and telehealth,referral pathway review,"referral pathway review|review|high|requiresReferral|provider_owned|high-risk claim affects safety, suitability, availability, referral, or sensitiv",requiresReferral,false,high,high,1,review,provider_owned,provider_owned,https://www.coliber.nz/contact/,referral pathway review; review,"high-risk claim affects safety, suitability, availability, referral, or sensitive matching",Human review required before this claim changes public recommendations.,high
claim:1154491ef1267c026d184896,southland-coliber-dr-agata-moody,Dr Agata Moody - Coliber Psychiatry,psychiatrist,Southland,Invercargill and telehealth,referral pathway review,"referral pathway review|review|high|referralType|provider_owned|high-risk claim affects safety, suitability, availability, referral, or sensitiv",referralType,unknown,high,high,1,review,provider_owned,provider_owned,https://www.coliber.nz/contact/,referral pathway review; review,"high-risk claim affects safety, suitability, availability, referral, or sensitive matching",Human review required before this claim changes public recommendations.,high
claim:2f75a27fe468f4b44435fe91,manawatu-eye-openers-psychiatry,Eye-Openers Psychiatry,psychiatrist,Manawatu-Whanganui,Palmerston North,referral pathway review,"referral pathway review|review|high|requiresReferral|provider_owned|high-risk claim affects safety, suitability, availability, referral, or sensitiv",requiresReferral,false,high,high,1,review,provider_owned,provider_owned,https://eye-openers-psychiatry.co.nz/,referral pathway review; review,"high-risk claim affects safety, suitability, availability, referral, or sensitive matching",Human review required before this claim changes public recommendations.,high
claim:7b1581109846540200b1d145,manawatu-eye-openers-psychiatry,Eye-Openers Psychiatry,psychiatrist,Manawatu-Whanganui,Palmerston North,referral pathway review,"referral pathway review|review|high|referralType|provider_owned|high-risk claim affects safety, suitability, availability, referral, or sensitiv",referralType,unknown,high,high,1,review,provider_owned,provider_owned,https://eye-openers-psychiatry.co.nz/,referral pathway review; review,"high-risk claim affects safety, suitability, availability, referral, or sensitive matching",Human review required before this claim changes public recommendations.,high
claim:38c86ca1f2c16fdccfc490af,hawkes-bay-community-mental-health-addiction,Hawke's Bay Community Mental Health and Addiction Services,public-service,Hawke's Bay,"Napier, Hastings, Central Hawke's Bay, and Wairoa",referral pathway review,"referral pathway review|review|high|requiresReferral|healthpoint|high-risk claim affects safety, suitability, availability, referral, or sensitiv",requiresReferral,false,high,high,1,review,healthpoint,professional_directory,https://www.healthpoint.co.nz/mental-health-addictions/mental-health/community-mental-health-and-addiction-services/at/76-wellesley-road-napier-south-napier-1/,referral pathway review; review,"high-risk claim affects safety, suitability, availability, referral, or sensitive matching",Human review required before this claim changes public recommendations.,high
claim:c46e44b6fe470938092ba471,northland-heartwood-psychiatry,Heartwood Psychiatry,psychiatrist,Northland,Northland and telehealth,referral pathway review,"referral pathway review|review|high|requiresReferral|provider_owned|high-risk claim affects safety, suitability, availability, referral, or sensitiv",requiresReferral,false,high,high,1,review,provider_owned,provider_owned,https://www.heartwoodpsychiatry.co.nz/,referral pathway review; review,"high-risk claim affects safety, suitability, availability, referral, or sensitive matching",Human review required before this claim changes public recommendations.,high
claim:7c9049d1e7adff5ba45e7dd5,northland-heartwood-psychiatry,Heartwood Psychiatry,psychiatrist,Northland,Northland and telehealth,referral pathway review,"referral pathway review|review|high|referralType|provider_owned|high-risk claim affects safety, suitability, availability, referral, or sensitiv",referralType,unknown,high,high,1,review,provider_owned,provider_owned,https://www.heartwoodpsychiatry.co.nz/,referral pathway review; review,"high-risk claim affects safety, suitability, availability, referral, or sensitive matching",Human review required before this claim changes public recommendations.,high
claim:c4be95e0fb84ce689166bb87,tairawhiti-icamhs-te-whare-o-te-rito,ICAMHS Te Whare o te Rito,youth,Tairawhiti,Gisborne,referral pathway review,"referral pathway review|review|high|requiresReferral|healthpoint|high-risk claim affects safety, suitability, availability, referral, or sensitiv",requiresReferral,false,high,high,1,review,healthpoint,professional_directory,https://www.healthpoint.co.nz/mental-health-addictions/mental-health/infant-child-and-adolescent-mental-health-2/at/gisborne-hospital/,referral pathway review; review,"high-risk claim affects safety, suitability, availability, referral, or sensitive matching",Human review required before this claim changes public recommendations.,high
claim:d0b63217a439ba0062765064,rotorua-lakes-icamhs,"Infant, Child and Adolescent Mental Health Service | Lakes",youth,Rotorua and Taupo,Rotorua and Taupo,referral pathway review,"referral pathway review|review|high|requiresReferral|healthpoint|high-risk claim affects safety, suitability, availability, referral, or sensitiv",requiresReferral,false,high,high,1,review,healthpoint,professional_directory,https://www.healthpoint.co.nz/public/psychiatry/infant-child-and-adolescent-mental-health/at/childrens-health-hub-1127-haupapa-street/,referral pathway review; review,"high-risk claim affects safety, suitability, availability, referral, or sensitive matching",Human review required before this claim changes public recommendations.,high
claim:911063940329195d9f926b18,south-canterbury-mental-health-older-people,Mental Health of Older People | South Canterbury,public-service,South Canterbury,Timaru,referral pathway review,"referral pathway review|review|high|requiresReferral|healthpoint|high-risk claim affects safety, suitability, availability, referral, or sensitiv",requiresReferral,false,high,high,1,review,healthpoint,professional_directory,https://www.healthpoint.co.nz/mental-health-addictions/mental-health/mental-health-of-older-people-south-canterbury/,referral pathway review; review,"high-risk claim affects safety, suitability, availability, referral, or sensitive matching",Human review required before this claim changes public recommendations.,high
claim:2d32d117643bafc68baccaa3,taranaki-mhsop,Mental Health Services for Older People | Taranaki,public-service,Taranaki,New Plymouth and Hawera,referral pathway review,"referral pathway review|review|high|requiresReferral|healthpoint|high-risk claim affects safety, suitability, availability, referral, or sensitiv",requiresReferral,true,high,high,1,review,healthpoint,professional_directory,https://www.healthpoint.co.nz/mental-health-addictions/mental-health/mental-health-services-for-older-people-mhsop-1/,referral pathway review; review,"high-risk claim affects safety, suitability, availability, referral, or sensitive matching",Human review required before this claim changes public recommendations.,high
claim:772283ca1d7deb5089d628e1,national-mindcraft-psychiatry,MindCraft Psychiatry,psychiatrist,National,Telehealth,referral pathway review,"referral pathway review|review|high|requiresReferral|provider_owned|high-risk claim affects safety, suitability, availability, referral, or sensitiv",requiresReferral,false,high,high,1,review,provider_owned,provider_owned,https://mindcraftpsychiatry.nz/,referral pathway review; review,"high-risk claim affects safety, suitability, availability, referral, or sensitive matching",Human review required before this claim changes public recommendations.,high
claim:2a855a69e26a97b7ab07bbf6,national-mindcraft-psychiatry,MindCraft Psychiatry,psychiatrist,National,Telehealth,referral pathway review,"referral pathway review|review|high|referralType|provider_owned|high-risk claim affects safety, suitability, availability, referral, or sensitiv",referralType,unknown,high,high,1,review,provider_owned,provider_owned,https://mindcraftpsychiatry.nz/,referral pathway review; review,"high-risk claim affects safety, suitability, availability, referral, or sensitive matching",Human review required before this claim changes public recommendations.,high
claim:81b13a34b8b20c4af772acc8,national-msq-health-psychiatry,MSQ Health - Psychiatry,psychiatrist,National,Telehealth and NZ clinics,referral pathway review,"referral pathway review|review|high|requiresReferral|provider_owned|high-risk claim affects safety, suitability, availability, referral, or sensitiv",requiresReferral,false,high,high,1,review,provider_owned,provider_owned,https://msq.health/,referral pathway review; review,"high-risk claim affects safety, suitability, availability, referral, or sensitive matching",Human review required before this claim changes public recommendations.,high
claim:cd34ae73e5dd51c6383e69f4,national-msq-health-psychiatry,MSQ Health - Psychiatry,psychiatrist,National,Telehealth and NZ clinics,referral pathway review,"referral pathway review|review|high|referralType|provider_owned|high-risk claim affects safety, suitability, availability, referral, or sensitiv",referralType,unknown,high,high,1,review,provider_owned,provider_owned,https://msq.health/,referral pathway review; review,"high-risk claim affects safety, suitability, availability, referral, or sensitive matching",Human review required before this claim changes public recommendations.,high
claim:b7c9d8760b1463ac3395c682,tairawhiti-older-persons-mental-health-services,Older Persons Mental Health Services | Tairawhiti,public-service,Tairawhiti,Gisborne,referral pathway review,"referral pathway review|review|high|requiresReferral|healthpoint|high-risk claim affects safety, suitability, availability, referral, or sensitiv",requiresReferral,false,high,high,1,review,healthpoint,professional_directory,https://www.healthpoint.co.nz/mental-health-addictions/mental-health/older-persons-mental-health-services-tairawhiti/at/gisborne-hospital/,referral pathway review; review,"high-risk claim affects safety, suitability, availability, referral, or sensitive matching",Human review required before this claim changes public recommendations.,high
claim:d503c9edc9c9bdab374b5a77,manawatu-palmerston-north-community-mental-health,Palmerston North Community Mental Health,public-service,Manawatu-Whanganui,Palmerston North,referral pathway review,"referral pathway review|review|high|requiresReferral|healthpoint|high-risk claim affects safety, suitability, availability, referral, or sensitiv",requiresReferral,false,high,high,1,review,healthpoint,professional_directory,https://www.healthpoint.co.nz/mental-health-addictions/mental-health/palmerston-north-community-mental-health/at/palmerston-north-hospital-50-ruahine-street/,referral pathway review; review,"high-risk claim affects safety, suitability, availability, referral, or sensitive matching",Human review required before this claim changes public recommendations.,high
claim:25c9d0d6713d7e32b80c0f31,national-positive-mind-works-psychiatry,Positive Mind Works Psychiatry,psychiatrist,National,Nationwide virtual service,referral pathway review,"referral pathway review|review|high|requiresReferral|provider_owned|high-risk claim affects safety, suitability, availability, referral, or sensitiv",requiresReferral,false,high,high,1,review,provider_owned,provider_owned,https://www.positivemindworks.co/,referral pathway review; review,"high-risk claim affects safety, suitability, availability, referral, or sensitive matching",Human review required before this claim changes public recommendations.,high
claim:23c4ff65e630207a10ee7f61,national-positive-mind-works-psychiatry,Positive Mind Works Psychiatry,psychiatrist,National,Nationwide virtual service,referral pathway review,"referral pathway review|review|high|referralType|provider_owned|high-risk claim affects safety, suitability, availability, referral, or sensitiv",referralType,unknown,high,high,1,review,provider_owned,provider_owned,https://www.positivemindworks.co/,referral pathway review; review,"high-risk claim affects safety, suitability, availability, referral, or sensitive matching",Human review required before this claim changes public recommendations.,high
claim:af1a8df29c6b9293a6cd5920,taranaki-space-of-mind-dr-doron,Space of Mind - Dr Yariv Doron,psychiatrist,Taranaki,New Plymouth and telehealth,referral pathway review,"referral pathway review|review|high|requiresReferral|provider_owned|high-risk claim affects safety, suitability, availability, referral, or sensitiv",requiresReferral,false,high,high,1,review,provider_owned,provider_owned,https://www.spaceofmind.solutions/,referral pathway review; review,"high-risk claim affects safety, suitability, availability, referral, or sensitive matching",Human review required before this claim changes public recommendations.,high
claim:bdca8e58a4c190772fc9fd9c,taranaki-space-of-mind-dr-doron,Space of Mind - Dr Yariv Doron,psychiatrist,Taranaki,New Plymouth and telehealth,referral pathway review,"referral pathway review|review|high|referralType|provider_owned|high-risk claim affects safety, suitability, availability, referral, or sensitiv",referralType,unknown,high,high,1,review,provider_owned,provider_owned,https://www.spaceofmind.solutions/,referral pathway review; review,"high-risk claim affects safety, suitability, availability, referral, or sensitive matching",Human review required before this claim changes public recommendations.,high
claim:e82a6775d82155f0025b9cf7,tairawhiti-te-whare-oranga,Te Whare Oranga Adult Community Mental Health & Addiction Services,public-service,Tairawhiti,Gisborne,referral pathway review,"referral pathway review|review|high|requiresReferral|healthpoint|high-risk claim affects safety, suitability, availability, referral, or sensitiv",requiresReferral,false,high,high,1,review,healthpoint,professional_directory,https://www.healthpoint.co.nz/mental-health-addictions/mental-health/adult-community-mental-health-addiction-services-1/at/79-lowe-street-gisborne/,referral pathway review; review,"high-risk claim affects safety, suitability, availability, referral, or sensitive matching",Human review required before this claim changes public recommendations.,high
claim:b4a432fefea6de23231809f0,national-tom-oflynn-psychiatrist,Tom O'Flynn Psychiatrist,psychiatrist,National,Telehealth,referral pathway review,"referral pathway review|review|high|requiresReferral|healthpoint|high-risk claim affects safety, suitability, availability, referral, or sensitiv",requiresReferral,false,high,high,1,review,healthpoint,professional_directory,https://www.healthpoint.co.nz/private/psychiatry/tom-oflynn-psychiatrist/,referral pathway review; review,"high-risk claim affects safety, suitability, availability, referral, or sensitive matching",Human review required before this claim changes public recommendations.,high
claim:9f641941d212329192c5235b,waikato-healthnz-mental-health-triage,Waikato Mental Health Triage Service,public-service,Waikato,Hamilton and Waikato,referral pathway review,"referral pathway review|review|high|requiresReferral|healthpoint|high-risk claim affects safety, suitability, availability, referral, or sensitiv",requiresReferral,false,high,high,1,review,healthpoint,professional_directory,https://www.healthpoint.co.nz/mental-health-addictions/mental-health/triage-service-waikato/,referral pathway review; review,"high-risk claim affects safety, suitability, availability, referral, or sensitive matching",Human review required before this claim changes public recommendations.,high
claim:9f1c34e4167eed1feedfcd46,wairarapa-mhaids-camhs,Wairarapa CAMHS | MHAIDS,youth,Wairarapa,Masterton,referral pathway review,"referral pathway review|review|high|requiresReferral|healthpoint|high-risk claim affects safety, suitability, availability, referral, or sensitiv",requiresReferral,false,high,high,1,review,healthpoint,professional_directory,https://www.healthpoint.co.nz/mental-health-addictions/mental-health/child-and-adolescent-mental-health-services/at/49-51-lincoln-road-masterton/,referral pathway review; review,"high-risk claim affects safety, suitability, availability, referral, or sensitive matching",Human review required before this claim changes public recommendations.,high
claim:c87d23a16b9742dbc9035214,northland-maria-rotella-clinical-psychologist,Dr Maria Rotella,psychologist,Northland,Whangarei,availability review,"availability review|review|high|availabilityEvidence|professional_directory|high-risk claim affects safety, suitability, availability, referral, or sensitiv",availabilityEvidence,Psychology Today profile says waitlist for new clients; provider-owned site does not publish a clear accepting-new-clients status.,high,high,0.99,review,professional_directory,provider_owned,https://www.psychologytoday.com/nz/counselling/maria-rotella-whangarei-no/1134941; https://drmariarotella.co.nz/,availability review; review,"high-risk claim affects safety, suitability, availability, referral, or sensitive matching",Human review required before this claim changes public recommendations.,high
claim:02264999f388926624cccf30,psychiatry-nz-christmas-seu,Dr Christmas Seu,psychiatrist,National,Telehealth across New Zealand,availability review,"availability review|review|high|availabilityEvidence|provider_owned|high-risk claim affects safety, suitability, availability, referral, or sensitiv",availabilityEvidence,waitlist,high,high,0.98,review,provider_owned,provider_owned,https://psychiatry.nz/,availability review; review,"high-risk claim affects safety, suitability, availability, referral, or sensitive matching",Human review required before this claim changes public recommendations.,high
claim:8eefda21cc9e96eae7c73314,psychiatry-nz-han-chung-lim,Dr Han Chung Lim,psychiatrist,National,Telehealth across New Zealand,availability review,"availability review|review|high|availabilityEvidence|provider_owned|high-risk claim affects safety, suitability, availability, referral, or sensitiv",availabilityEvidence,waitlist,high,high,0.98,review,provider_owned,provider_owned,https://psychiatry.nz/,availability review; review,"high-risk claim affects safety, suitability, availability, referral, or sensitive matching",Human review required before this claim changes public recommendations.,high
claim:ab0926db43319ab1488b06cc,psychiatry-nz-jimi-macmillan,Dr Jimi MacMillan,psychiatrist,National,Telehealth across New Zealand,availability review,"availability review|review|high|availabilityEvidence|provider_owned|high-risk claim affects safety, suitability, availability, referral, or sensitiv",availabilityEvidence,waitlist,high,high,0.98,review,provider_owned,provider_owned,https://psychiatry.nz/,availability review; review,"high-risk claim affects safety, suitability, availability, referral, or sensitive matching",Human review required before this claim changes public recommendations.,high
claim:6c5551b800c89cd065304238,psychiatry-nz-staverton-kautoke,Dr Staverton (Tony) Kautoke,psychiatrist,National,Telehealth across New Zealand,availability review,"availability review|review|high|availabilityEvidence|provider_owned|high-risk claim affects safety, suitability, availability, referral, or sensitiv",availabilityEvidence,waitlist,high,high,0.98,review,provider_owned,provider_owned,https://psychiatry.nz/,availability review; review,"high-risk claim affects safety, suitability, availability, referral, or sensitive matching",Human review required before this claim changes public recommendations.,high
claim:3029ac21b277d47b8fbd4100,wellington-clinical-psychology-practice,Wellington Clinical Psychology Practice,psychologist,Wellington,Wellington CBD,availability review,"availability review|review|high|availabilityEvidence|provider_owned|high-risk claim affects safety, suitability, availability, referral, or sensitiv",availabilityEvidence,very limited,high,high,0.98,review,provider_owned,provider_owned,https://www.wcpp.org.nz/contact/; https://www.wcpp.org.nz/,availability review; review,"high-risk claim affects safety, suitability, availability, referral, or sensitive matching",Human review required before this claim changes public recommendations.,high
claim:5df078e3cd6c7baa30f69237,dunedin-ashburn-clinic-psychiatry,Ashburn Clinic Psychiatry,psychiatrist,Otago,Dunedin,referral pathway review,"referral pathway review|review|high|requiresReferral|provider_owned|high-risk claim affects safety, suitability, availability, referral, or sensitiv",requiresReferral,false,high,high,0.98,review,provider_owned,provider_owned,https://www.ashburn.co.nz/outpatient-services/psychiatry/,referral pathway review; review,"high-risk claim affects safety, suitability, availability, referral, or sensitive matching",Human review required before this claim changes public recommendations.,high
claim:fe75a59c1ad85ae16ac4ea38,dunedin-blue-harbour-mental-health,Blue Harbour Mental Health,psychiatrist,Otago,Dunedin,referral pathway review,"referral pathway review|review|high|requiresReferral|provider_owned|high-risk claim affects safety, suitability, availability, referral, or sensitiv",requiresReferral,false,high,high,0.98,review,provider_owned,provider_owned,https://www.blueharbour.co.nz/,referral pathway review; review,"high-risk claim affects safety, suitability, availability, referral, or sensitive matching",Human review required before this claim changes public recommendations.,high
claim:475d95d5092d8552df504f34,psychiatry-nz-christmas-seu,Dr Christmas Seu,psychiatrist,National,Telehealth across New Zealand,referral pathway review,"referral pathway review|review|high|requiresReferral|provider_owned|high-risk claim affects safety, suitability, availability, referral, or sensitiv",requiresReferral,false,high,high,0.98,review,provider_owned,provider_owned,https://psychiatry.nz/,referral pathway review; review,"high-risk claim affects safety, suitability, availability, referral, or sensitive matching",Human review required before this claim changes public recommendations.,high
claim:729e002e9682cd3d32f5a96c,psychiatry-nz-han-chung-lim,Dr Han Chung Lim,psychiatrist,National,Telehealth across New Zealand,referral pathway review,"referral pathway review|review|high|requiresReferral|provider_owned|high-risk claim affects safety, suitability, availability, referral, or sensitiv",requiresReferral,false,high,high,0.98,review,provider_owned,provider_owned,https://psychiatry.nz/,referral pathway review; review,"high-risk claim affects safety, suitability, availability, referral, or sensitive matching",Human review required before this claim changes public recommendations.,high
claim:70a0b7a1bdb8842fcf9a7914,psychiatry-nz-jimi-macmillan,Dr Jimi MacMillan,psychiatrist,National,Telehealth across New Zealand,referral pathway review,"referral pathway review|review|high|requiresReferral|provider_owned|high-risk claim affects safety, suitability, availability, referral, or sensitiv",requiresReferral,false,high,high,0.98,review,provider_owned,provider_owned,https://psychiatry.nz/,referral pathway review; review,"high-risk claim affects safety, suitability, availability, referral, or sensitive matching",Human review required before this claim changes public recommendations.,high
claim:211cb3cae3336b5094b74c06,psychiatry-nz-staverton-kautoke,Dr Staverton (Tony) Kautoke,psychiatrist,National,Telehealth across New Zealand,referral pathway review,"referral pathway review|review|high|requiresReferral|provider_owned|high-risk claim affects safety, suitability, availability, referral, or sensitiv",requiresReferral,false,high,high,0.98,review,provider_owned,provider_owned,https://psychiatry.nz/,referral pathway review; review,"high-risk claim affects safety, suitability, availability, referral, or sensitive matching",Human review required before this claim changes public recommendations.,high
claim:95fe29187d3927fb08342fc4,bay-of-plenty-adult-community-mental-health,Adult Community Mental Health Service | Bay of Plenty,public-service,Bay of Plenty,Tauranga and Whakatane,referral pathway review,"referral pathway review|review|high|referralType|healthpoint|high-risk claim affects safety, suitability, availability, referral, or sensitiv",referralType,unknown,high,high,0.93,review,healthpoint,professional_directory,https://www.healthpoint.co.nz/public/psychiatry/adult-community-mental-health-service-bay/,referral pathway review; review,"high-risk claim affects safety, suitability, availability, referral, or sensitive matching",Human review required before this claim changes public recommendations.,high
claim:0010bfc7567def9e46503f5e,southland-southern-adult-community-mental-health,Adult Community Mental Health Services | Southern Southland,public-service,Southland,"Invercargill, Gore, and Wakatipu",referral pathway review,"referral pathway review|review|high|referralType|healthpoint|high-risk claim affects safety, suitability, availability, referral, or sensitiv",referralType,unknown,high,high,0.93,review,healthpoint,professional_directory,https://www.healthpoint.co.nz/public/psychiatry/adult-community-mental-health-services-southern/at/southland-hospital-invercargill/,referral pathway review; review,"high-risk claim affects safety, suitability, availability, referral, or sensitive matching",Human review required before this claim changes public recommendations.,high
claim:3a0c2ec1a6daf48bc0f3c6b7,west-coast-adult-community-mental-health,Adult Community Mental Health Services | West Coast,public-service,West Coast,"Greymouth, Hokitika, and Westport",referral pathway review,"referral pathway review|review|high|referralType|healthpoint|high-risk claim affects safety, suitability, availability, referral, or sensitiv",referralType,self,high,high,0.93,review,healthpoint,professional_directory,https://www.healthpoint.co.nz/mental-health-addictions/mental-health/adult-community-mental-health-services-west/at/te-nikau-grey-hospital/,referral pathway review; review,"high-risk claim affects safety, suitability, availability, referral, or sensitive matching",Human review required before this claim changes public recommendations.,high
claim:ba01ec263ed0c8cd5791b6e9,west-coast-camhs,Child and Adolescent Mental Health Services | West Coast,youth,West Coast,Greymouth and wider West Coast,referral pathway review,"referral pathway review|review|high|referralType|healthpoint|high-risk claim affects safety, suitability, availability, referral, or sensitiv",referralType,self,high,high,0.93,review,healthpoint,professional_directory,https://www.healthpoint.co.nz/mental-health-addictions/mental-health/child-and-adolescent-mental-health-services-1/,referral pathway review; review,"high-risk claim affects safety, suitability, availability, referral, or sensitive matching",Human review required before this claim changes public recommendations.,high
claim:d2447b9c47ac1651584588b7,national-coliber-group-psychiatry,Coliber Group Psychiatry,psychiatrist,National,Telehealth,referral pathway review,"referral pathway review|review|high|referralType|healthpoint|high-risk claim affects safety, suitability, availability, referral, or sensitiv",referralType,unknown,high,high,0.93,review,healthpoint,professional_directory,https://www.healthpoint.co.nz/private/psychiatry/coliber-group-psychiatry/?region=im%3A085f0496-b25b-4d5a-8ac7-81a4ca54226d; https://www.coliber.nz/appointments/,referral pathway review; review,"high-risk claim affects safety, suitability, availability, referral, or sensitive matching",Human review required before this claim changes public recommendations.,high
